wikibase_lexeme	wikibase_statement	lila_id	wikidata_lexeme
L87056	L87056-A56CAEAA-0898-4FB4-8E94-3A142FF2B3DE	lemma/86988	L254742
L87062	L87062-04EE222B-6A34-4A10-831A-5B59F6A70E52	lemma/87005	L254768
L87064	L87064-68F13E97-4F75-4CE2-B27E-25D460396D4E	lemma/87008	L254775
L87065	L87065-0110D3B8-4157-4376-86DF-E684F13E6C64	lemma/87013	L254780
L87066	L87066-1592E099-7C0D-4977-9A1E-3E0ADFCC11AD	lemma/87016	L254782
L87072	L87072-05E8E187-DC8A-4956-A9A3-DEFD503DA85D	lemma/87025	L254797
L87081	L87081-F0C5596F-E766-4AA5-9E09-ABBF4C3B73B8	hypolemma/256	L254808
L87089	L87089-F1EAD1C8-FCC7-4135-B957-0BB52E36751E	hypolemma/277	L254829
L87090	L87090-DCCAEDA1-36C4-49DD-A01D-4AFE07F8C6E0	lemma/87053	L254830
L87091	L87091-9FFD40B9-403F-4A16-B456-F1B0B513477A	lemma/87058	L254839
L87093	L87093-1702433D-D069-4CA5-84BA-C75077EE8867	lemma/87060	L254846
L87097	L87097-0B6599DA-DABC-4E86-B210-6B01EFDCF246	lemma/87089	L254883
L87099	L87099-D8FB6051-FDF0-46FC-BB62-8BDE833565FF	lemma/91060	L1047307
L87100	L87100-D1936E21-E481-4A06-BEDB-3344E3173528	lemma/91169	L254892
L87101	L87101-48F80907-8F6B-4369-B1C2-13C752734645	lemma/87119	L254933
L87102	L87102-34FBEBCC-69EE-4FFF-B4C6-64ACA8782B8E	lemma/87100	L254900
L87103	L87103-EB2F3A20-959C-4A68-B35E-00F2F65C4022	hypolemma/343	L254906
L87105	L87105-655E4FA3-95F1-481C-80B1-0D39A9788422	lemma/87084	L255274
L87111	L87111-0BDECD9F-B3ED-4F8F-BE4A-951332047775	hypolemma/337	L254929
L87112	L87112-14113903-9046-437A-8085-66987731A80F	lemma/87116	L254930
L87113	L87113-2613918F-6BA2-4CD9-B3EE-AA72FDBF3655	lemma/87116	L254930
L87114	L87114-BFE6EFBC-A493-4F95-AC78-11702DF3E6C4	lemma/87118	L254932
L87115	L87115-E0B44AAC-1716-4B8D-AD05-C92221B6D6C4	lemma/87119	L254933
L87116	L87116-D5ABC26E-ED83-4E88-B965-48D6B8F1496F	lemma/87120	L254934
L87129	L87129-01A216B7-A391-4FD2-95F8-961AA4E12494	lemma/87156	L254978
L87136	L87136-C0D024F0-19AE-4410-A449-D7DB1B7F30F1	lemma/87184	L255009
L87137	L87137-E9887B31-5736-4FE8-A247-416CB2302C10	lemma/87188	L255013
L87138	L87138-70A24525-2320-494A-AE0D-6A6FA57DC393	lemma/87190	L255015
L87139	L87139-D8742653-C83D-4A72-936E-389C784428E4	lemma/87191	L255017
L87141	L87141-1AF3666A-9EA9-4EB4-BC87-B95E52B5DAB4	lemma/87194	L255022
L87142	L87142-77075D3B-E843-4036-B10D-227CB7F66752	lemma/87198	L255029
L87144	L87144-FEDA7A79-4B1A-4908-BD62-0EE3EDDD24D0	lemma/87201	L255032
L87145	L87145-8C51EBE6-A706-4B62-AAB4-9C070C300F32	lemma/87211	L255039
L87146	L87146-04D1C514-3234-4BC9-80E5-AF56D2275460	lemma/87229	L255065
L87147	L87147-A78CEC8A-3C62-4892-9381-C0D7B54EC19D	lemma/87231	L255066
L87148	L87148-05317C8B-0CE5-4471-A3C9-79AE15C3EABB	lemma/87232	L255068
L87149	L87149-5807ADAE-E68E-44DC-910A-16762A5D4349	lemma/87238	L255074
L87151	L87151-E108F375-3F0B-4F4B-807F-D28B8E4937F6	lemma/87244	L255081
L87153	L87153-F1ACC1A5-9BA4-4014-AF0D-CB774FB3836A	lemma/87257	L255100
L87160	L87160-ACAEEB75-CA73-476A-89CD-1E5952D8A354	lemma/87271	L255114
L87161	L87161-607E1470-D86A-4B67-9894-6AE84F2F9D9B	lemma/87276	L255120
L87162	L87162-9B0C0B16-2A37-48FB-BFC6-533CE6D27C81	hypolemma/427	L255122
L87163	L87163-C008ACE2-8143-4227-9408-2FE32EDC38B6	lemma/87281	L255125
L87164	L87164-9436A6B6-3D0F-4259-A1D9-A91D9E48CCE2	lemma/87282	L255128
L87165	L87165-A825CFE0-05A1-4469-AA6C-38F7AA851712	lemma/87297	L255146
L87167	L87167-B9945383-9548-4806-9057-4D7C45E4ADD2	lemma/87302	L255152
L87168	L87168-5FBDBB38-6973-484A-AA38-1928652D7F46	lemma/87309	L255158
L87169	L87169-F5C98442-7B8B-4EED-B258-33E41A97D714	lemma/87315	L255165
L87170	L87170-FE11A5B7-A1B3-4A0B-9C48-4E3C6DE2923C	lemma/87314	L255169
L87171	L87171-4796CADE-D84D-4188-8C16-E1324476BCC9	lemma/87317	L255176
L87173	L87173-429F75B7-0219-47C7-BA1B-DEF3E6429909	lemma/91175	L255177
L87176	L87176-229FB4E5-9B16-4C22-B69D-E9E1B9DCB460	lemma/87322	L255183
L87177	L87177-675204E7-9E09-4D9B-8586-118F139EB772	lemma/87323	L255185
L87178	L87178-33C5F79B-AA9F-485C-90FF-DEF5359ECA6B	lemma/87325	L255187
L87181	L87181-E2A8785B-719B-4A55-85A7-AD197272A2D4	lemma/87333	L1046261
L87184	L87184-B1AA1F7D-0128-48EB-9D99-4D14E9688F4A	lemma/87345	L255214
L87186	L87186-8B843950-BB9B-4A8E-80A0-B2F4C1CF6409	lemma/87347	L255220
L87187	L87187-C83ABC0A-23DE-4CEB-A6BC-D4EBFB2A4C15	lemma/87348	L255221
L87188	L87188-56498741-1CE4-49D4-853F-3A7DBBB95A0F	lemma/87352	L255225
L87189	L87189-86DA3AD5-8C7B-4618-A9D8-878CB417CB7D	lemma/87357	L255230
L87190	L87190-6B902929-D002-4704-BE75-5FE3EB31201A	lemma/87358	L255232
L87191	L87191-660EF3D0-4BB0-45B8-BB70-DDE7DE48B7BB	lemma/87361	L255235
L87192	L87192-E68C053D-C903-4853-8855-E8A43BC6A7C4	lemma/87365	L255238
L87196	L87196-DCB9EC7B-8D79-4327-A32F-3866153AAE5E	lemma/87371	L255251
L87198	L87198-2754967F-BBDC-4165-A4DC-DF9713F4F208	lemma/87378	L255261
L87199	L87199-4C8DC024-F073-4FB8-BB31-27D5ADC85511	lemma/87379	L255262
L87200	L87200-E1981958-26DD-4C99-B48E-215F54043B9B	lemma/87378	L255261
L87201	L87201-1B79C8A1-6FAA-425C-8859-54938995FC1B	lemma/87453	L255517
L87204	L87204-20C7ED95-9B7B-4B52-8070-59824AB90B0A	lemma/87391	L255327
L87205	L87205-FADEC679-70C9-484E-90C4-7A587E9F4653	lemma/87393	L255329
L87206	L87206-E3E759A0-44E3-428D-8A56-19F8682A440B	hypolemma/627	L255332
L87207	L87207-96DDFF03-0058-45F9-8FC9-67DB30BA55F6	lemma/87401	L255341
L87208	L87208-FCBCC60E-AC42-4D4C-943C-3378BE28B053	lemma/87396	L255334
L87209	L87209-73266B12-0874-48C8-9FD8-DFA46E92B9CF	lemma/87399	L255337
L87210	L87210-6A38E8D7-8DED-458A-81F3-BDFD6E808EB6	lemma/87396	L255334
L87211	L87211-5A48A32C-E93E-40C7-AEED-26CE65E0E784	lemma/87397	L255335
L87213	L87213-2ADBA8D5-3AC3-4595-A3A9-8A3151D9296A	lemma/87393	L255329
L87214	L87214-530B595B-B073-4388-9FC4-251A290EC8CE	lemma/87401	L255341
L87215	L87215-957BBDCC-A2F7-4A56-B55D-4F57FC902B8E	lemma/87402	L255342
L87216	L87216-7CDE8E5B-58DA-41D3-9AC4-308275A01515	lemma/87409	L255345
L87217	L87217-785E24B4-4CBF-4E25-958E-FCB5CFA21DD7	lemma/87410	L255346
L87218	L87218-16EB08B0-E30E-468A-A082-3D5ED2CE397F	hypolemma/647	L255349
L87219	L87219-8376BD6A-3909-4F86-935B-6B07E1F14D55	lemma/87410	L255346
L87220	L87220-675648B3-1BA9-41CA-AA53-D6FDC3E4D99E	lemma/87414	L255350
L87221	L87221-CDF81E26-E643-4363-A7F8-E89FAAAB7341	lemma/87453	L255517
L87222	L87222-0CA15356-11F5-45FA-93AB-00FB7A2BDFD3	lemma/87456	L255518
L87223	L87223-FE515C68-A275-44AB-B523-98A77A34B63D	lemma/87418	L255352
L87225	L87225-8003E68D-D2ED-4E91-A2C5-464A1A904A5D	lemma/87421	L38269
L87228	L87228-4276D8FD-D917-4B43-B7D2-A7387294C327	lemma/87423	L255357
L87230	L87230-FC2B34A9-4FEF-4D2D-BF61-A00FCDF3B4A2	lemma/87424	L255359
L87231	L87231-0FD81074-4312-4D19-81B9-6B3CEDD39EB1	hypolemma/653	L255365
L87234	L87234-BD1A1562-0689-48B0-B577-08C5E8EA4BD4	lemma/87429	L255488
L87235	L87235-B02EF2BE-4380-482B-9951-F1990FD1F5AB	lemma/88896	L255489
L87237	L87237-58160F11-E159-4F98-A794-1997D1EEA1A8	lemma/87431	L255491
L87239	L87239-064CD8D8-97E1-4ED0-B7A1-4F883487EBDB	lemma/87433	L255498
L87240	L87240-A9E2B9A4-3357-4FB3-ADAA-9C9037EAD51E	lemma/87437	L255504
L87241	L87241-592E9632-2465-48E5-B8AA-918D18D0D441	lemma/87441	L255508
L87243	L87243-268F235B-E137-404E-876B-4969F498475A	lemma/87445	L255551
L87248	L87248-B07E5961-E6BC-4271-8AFF-4EDF0BA87AF1	lemma/87453	L255517
L87249	L87249-A2630939-37B0-4D1B-A6E4-24AD7B5E2133	lemma/87456	L255518
L87250	L87250-79A40FA6-80CE-4AF8-8F6A-3A49575E9F97	lemma/87476	L255538
L87251	L87251-364BDD95-E472-49EE-B2AF-808BBE2723E4	lemma/91181	L38270
L87252	L87252-F57DA81C-CC1B-471F-A6EF-77400AA9A9B8	lemma/87487	L255562
L87253	L87253-CAEC5D7C-74E1-4C01-87AF-03D406C4BB2A	lemma/87489	L255548
L87254	L87254-7BE13F74-53FF-4E26-BFC7-F36D282B3D0F	lemma/87490	L255564
L87255	L87255-113A5D54-DD22-4155-8A8D-F85467FCCA93	hypolemma/761	L255568
L87257	L87257-0BD54B30-76FB-44B1-B61B-6B63634CFB63	lemma/87493	L1046292
L87258	L87258-B58DE95C-4587-40CF-A0AE-9B297EFCE238	lemma/87498	L255574
L87259	L87259-D90655F1-0E14-49EE-B310-079720961CA0	lemma/87502	L255577
L87265	L87265-7D845BF8-F498-4D94-BB86-5F05C1C3CEB7	lemma/87518	L255638
L87275	L87275-57339BCA-0FC7-431D-BFD6-A8355667A010	hypolemma/818	L255676
L87278	L87278-B92AF5AF-DF53-400F-94A6-22BFA76DD2D2	hypolemma/818	L255676
L87281	L87281-B956140F-9C85-4D13-8AB1-7C0BECB2F34F	lemma/87566	L255692
L87282	L87282-A9381CDD-6531-4AC1-B669-95D3C9D008BC	lemma/87566	L255692
L87283	L87283-B82F82AB-455D-4BB4-B58B-AD7BFF6E855B	hypolemma/843	L255693
L87287	L87287-C20BDE8C-4344-4F48-82EC-EFE8518805F7	lemma/87574	L255700
L87293	L87293-180B0885-4A52-4D13-9B4D-9EB5EA7E155A	lemma/87607	L255763
L87294	L87294-9C880AB6-F851-4B19-A04E-BFA841B99FAD	hypolemma/912	L255766
L87295	L87295-3B40DB0F-DF54-40B9-836C-DEB93E93E7BE	lemma/87607	L255763
L87297	L87297-264C669D-2FDE-4A7C-8E28-AF934815C6E1	lemma/87622	L255779
L87299	L87299-3BD9427C-4253-47A6-8533-AD689B2D015D	lemma/87631	L255790
L87300	L87300-BC8B4CFB-E6BB-49F0-A888-BB67E86AD3A5	lemma/87633	L255794
L87302	L87302-183DEB74-3E9B-4B11-B15A-9F8406DF6756	lemma/87634	L255795
L87313	L87313-15901F96-B7D2-4D66-8A1E-FF9B7D227FDC	lemma/87696	L256176
L87314	L87314-F36A1CE4-EEA9-41AC-9076-91932F6F00F1	lemma/87699	L256177
L87315	L87315-B3D5D9DD-67F9-4FA3-9E62-6D5DDB9F2829	lemma/87701	L256178
L87316	L87316-510684DC-C228-44AB-9952-CB72A1258AAA	lemma/87708	L256185
L87318	L87318-8FA67F28-924A-43F3-8C53-C6409ACD113E	lemma/91128	L256192
L87319	L87319-4110FE81-4019-4823-A2E6-DB06AB2EBCE8	lemma/87712	L256194
L87320	L87320-7F6E38D2-3739-450B-8EA2-CB32DB18DB96	lemma/87716	L256197
L87321	L87321-0F58208A-71AF-4315-88BB-C394F41B3029	lemma/91145	L256198
L87322	L87322-4BAF5532-4599-4F91-B958-360161386E29	lemma/87725	L256199
L87323	L87323-5940F9CF-6F4A-48F7-8735-5FB1AD84C3C9	lemma/87726	L256200
L87324	L87324-A0358833-CD95-454C-8C96-32B845C8E8A5	lemma/87726	L256200
L87326	L87326-645B0C12-6107-4915-B9FB-ADB012AA101B	hypolemma/1072	L256205
L87327	L87327-6951F428-0F03-4628-9829-9405794F1614	hypolemma/970	L256211
L87329	L87329-BC1663ED-F66B-4499-AB01-CA90FE76721F	lemma/87649	L256215
L87330	L87330-E9C75838-701C-4738-8930-4D45295811F8	lemma/87650	L256216
L87331	L87331-0E54E34E-6C36-48DE-90D4-BA086F7C57F1	lemma/87654	L37023
L87332	L87332-8E0A3997-4FBC-4AA0-934F-C7932FBCD93C	lemma/87657	L256222
L87333	L87333-F1272141-004D-4CCA-B5DC-5F1CC789EF90	lemma/91028	L37024
L87339	L87339-F4AF191E-A4D4-41C8-AE36-28CD114D951F	lemma/87683	L256259
L87341	L87341-3210BD4C-EC70-46EA-9D18-BC18D0025CB1	lemma/87719	L256267
L87342	L87342-A1226EC2-0708-4227-94EA-8644762221C2	lemma/87722	L256270
L87344	L87344-D2C27BDB-92F0-4DA2-A695-A72E41958A51	lemma/87723	L256271
L87345	L87345-7DC76C02-6C0E-47E5-AEB5-765B7379F1D8	lemma/87729	L256293
L87347	L87347-61478E52-9B05-4D38-97A1-49405EACB3B8	lemma/87744	L256314
L87348	L87348-C763A956-6318-4C37-ABB5-370567DAF850	lemma/87747	L256317
L87349	L87349-397C9862-75EB-4EEB-8C44-B1FC3E7B32E1	lemma/87748	L256318
L87350	L87350-0D619A35-F952-41C2-8581-788B57D68D8A	lemma/89149	L256315
L87351	L87351-5AF81916-0251-434B-A094-89DF1B1F1842	lemma/87761	L256336
L87352	L87352-B0EFD009-46E5-48F4-B978-D6D12BBF1DAA	lemma/87769	L256343
L87353	L87353-CD469235-9DAC-4079-B184-9FC907E01799	hypolemma/1101	L256353
L87354	L87354-85B2A2F1-0F98-41DE-9E65-9F1CEA1FD877	lemma/87781	L256355
L87355	L87355-2F91928A-82AA-4371-A093-72A7FBDB21D6	lemma/87782	L256357
L87356	L87356-68DF85BE-6C3A-48D6-B335-E368CAB21DF5	lemma/87787	L256359
L87357	L87357-AD1B4E58-2020-41CE-A0BB-935FFA9A97B8	lemma/87792	L256365
L87358	L87358-EA075FB4-FE01-40B9-B172-40240A2DDF8B	lemma/87793	L256366
L87359	L87359-CCA83003-C0AE-4BF5-A6AB-62ACF97C4DA1	lemma/87803	L256384
L87360	L87360-AB419511-94C2-4DB0-9231-B14AFB233B63	lemma/87805	L256385
L87365	L87365-904763CD-9823-496B-8C17-AAA6D68497E8	lemma/87818	L1046358
L87366	L87366-D0D54E05-AF01-41A7-9CA8-4DD320CAC621	lemma/87820	L256407
L87368	L87368-3BC772CF-DABC-4558-A683-2024B867CFF7	lemma/87822	L256410
L87369	L87369-D1DE104F-39C2-4E90-853F-4C8540A5C38A	lemma/87829	L256418
L87372	L87372-DC69CD83-35B3-4734-955D-FD30259C1266	lemma/87865	L256460
L87373	L87373-081679A9-EDD6-46A1-9E10-BF1DA8C78FB2	lemma/87869	L256466
L87375	L87375-5090E07E-AE98-4AF2-9809-F0810CBD28C7	lemma/87871	L256468
L87376	L87376-17578E02-43B6-4DA1-8D19-6CFA7AEA286E	lemma/87873	L256471
L87377	L87377-42FF1FB9-F02D-46F2-B3ED-11A98E4067EC	lemma/87881	L256477
L87378	L87378-68E35521-B2C1-47DB-910F-4173D27C554D	lemma/87878	L256478
L87382	L87382-B8521B82-E558-42D1-976F-FA361F3A9A30	lemma/87889	L256485
L87384	L87384-232ACEA8-374B-425B-8240-5ED2FB3BA9F5	lemma/87909	L256502
L87385	L87385-B9FB701A-14FB-4CEC-B1B9-8D9562CD4A43	lemma/87911	L256503
L87387	L87387-94FACBE5-A59D-40EA-9B8E-CA32445233E7	lemma/87923	L256514
L87388	L87388-70CBBD7F-7922-48D3-89EB-344F6CADE763	lemma/87927	L256518
L87389	L87389-98F74764-1EC5-4CEF-9E0D-DA73D29F0822	lemma/87931	L256521
L87390	L87390-6C2BDA86-F6B9-497A-B0AB-690541E6C95D	lemma/87932	L256523
L87392	L87392-AB0389AE-BF1B-4219-AFFB-16AA0C3AC8C5	lemma/87935	L256526
L87394	L87394-B510B751-0ACF-424D-BF70-A89301147BCF	lemma/87946	L1046388
L87395	L87395-BD355989-7D75-47DA-BF6A-00365E625DBE	lemma/87945	L256537
L87396	L87396-C7A76539-4CEA-4A9D-95BF-E60A2003D28D	lemma/87948	L256539
L87398	L87398-58E1F5C3-D719-42D2-9516-1F1F3C77CF8F	lemma/87951	L256543
L87399	L87399-6999D180-EF48-4766-B6F1-9B4BBE187748	lemma/87952	L256545
L87400	L87400-110E5658-8DAF-4DB0-82B0-B0796D539F33	lemma/87954	L256546
L87402	L87402-0288A432-9370-47BA-83FF-6946726DE45E	lemma/87956	L256549
L87403	L87403-545339D3-F2A0-43E4-8758-1EB9CE8B2D30	lemma/87959	L256553
L87405	L87405-D29A5AAE-CC49-4FFC-AD46-C7B817999BE0	lemma/87961	L256557
L87407	L87407-02F67A7C-B403-4D4E-9310-9C3473AD2843	lemma/87966	L256560
L87408	L87408-55EEBF1A-27AE-492E-BC8F-87F34318E99E	lemma/87978	L256575
L87409	L87409-DFCAD2D6-B311-4A7F-ABBB-A1EBA0846EE7	lemma/7013	L256580
L87411	L87411-71D629D3-BD6D-4094-AD88-5CDC665C9323	lemma/91030	L255375
L87435	L87435-BDD2F2BD-93C8-44B9-AB49-72D9D8E9DE13	hypolemma/1435	L256668
L87439	L87439-12216B40-5F83-43EC-B575-46F586A9C356	lemma/88041	L255447
L87447	L87447-2FD8A6A8-6F0F-4A9E-A9B0-AC18ADA639A0	lemma/88054	L256682
L87449	L87449-71036DD7-1D7F-4577-A47C-0C3CA15C23D8	lemma/88058	L256689
L87450	L87450-42A11CFA-203F-4A47-9063-A90C424D088F	lemma/88060	L256693
L87453	L87453-71AE7F8F-32D2-4336-B17E-25A8D1D85169	lemma/88069	L256702
L87456	L87456-1DD4A1A9-E151-4F46-B605-55007FF0A2B8	lemma/88073	L1046427
L87465	L87465-800641E9-5BE8-4E5C-AEF1-7C61999B46DB	lemma/88103	L256741
L87466	L87466-AA5B1D94-401D-46C1-B75C-64B0DF11489C	lemma/88106	L256745
L87472	L87472-E6835B69-545A-4960-ADA8-7FD73C32B076	lemma/88114	L256756
L87473	L87473-6706C285-6602-4691-B0C8-B8B549B33B83	lemma/88124	L256761
L87474	L87474-A0C03BCC-1187-4C6C-93A5-CDEAD80084BD	lemma/88123	L256762
L87480	L87480-B321D86F-AB7E-4F8E-9FFB-479D50E2EFC1	lemma/88138	L256776
L87481	L87481-B1DE6580-0C4C-4E94-8FD7-64AD00487416	lemma/88140	L256777
L87482	L87482-AF605B96-C3D3-4A9C-9344-AC7D545AEEE3	lemma/88143	L256782
L87484	L87484-9B6E2C9F-3A6A-4896-BA42-7F23FD3DA045	lemma/88163	L256799
L87487	L87487-21B7A790-CC55-4466-B4A2-7E11676C356D	lemma/88182	L256813
L87489	L87489-FA3A82C7-44F8-4623-A708-399C23691E4D	lemma/28469	L256832
L87490	L87490-ACABC8CF-5377-46AE-8548-275D11605D1F	lemma/88191	L256837
L87491	L87491-3C2DE902-BFF7-498B-BFC1-7DC26DCBCED3	lemma/88198	L256839
L87492	L87492-370C0697-6162-4ADD-8F3F-C118A6276163	lemma/88199	L256840
L87494	L87494-ED51F888-A44E-4CB3-93CD-D2DC219E5530	lemma/88207	L256848
L87495	L87495-D5E7BB3C-307F-488D-84A7-E8244AE81DE5	lemma/88208	L256850
L87497	L87497-922CF682-8981-4C5D-A12E-2F993B91C631	hypolemma/77838	L256856
L87498	L87498-35055F13-7A1E-4562-8443-70FE329EAC3C	lemma/88219	L256857
L87499	L87499-990A1731-88D7-4E74-8E19-751053D312C0	hypolemma/1622	L256865
L87500	L87500-25925F3E-8E8D-4F6C-8284-603F2A7D9A2A	lemma/91077	L256869
L87501	L87501-6E970989-D68E-4B8A-B8C8-7CA223A261B6	lemma/88232	L256870
L87502	L87502-61A0E4FD-58CE-4C71-8D91-0C5538E88913	lemma/88242	L256877
L87503	L87503-DCF3EDB7-A389-4932-A94A-D8507F01B78F	lemma/88246	L1046483
L87504	L87504-D77761BD-62D8-4000-8118-523205C84999	lemma/88265	L256900
L87505	L87505-76C0FDE1-2F83-4250-9CC8-B839AE06E83A	lemma/88269	L256906
L87506	L87506-8FAF66A7-4EB6-4139-AF20-0FB4B86A30F6	lemma/88282	L256916
L87507	L87507-E0A89432-E120-490D-9644-1297542A6366	lemma/88287	L256921
L87509	L87509-4F862F1D-7D70-4254-B5E6-C6E6C6E72332	lemma/88297	L256944
L87510	L87510-6B55FE62-FE34-4306-82BF-991670207204	lemma/88301	L256946
L87511	L87511-27D9D1DD-53F0-4255-81E3-4B8040A9F287	lemma/88305	L256948
L87514	L87514-22AC34C4-1300-41E9-B379-0368E1DFAB6E	lemma/88311	L256955
L87515	L87515-435726B9-915D-4EC6-B639-D31D8AC09D79	lemma/88320	L256962
L87516	L87516-1198F3C9-148F-4CAF-9E44-23A87BBC4E8F	lemma/88321	L256964
L87517	L87517-97559993-3445-4BD1-A8F4-E5381DAF3DAD	lemma/88322	L256965
L87518	L87518-E8C3AB78-3079-484F-BD20-1032926F475B	lemma/88325	L256966
L87519	L87519-835A9203-E7E9-488B-B5D5-1F6283A04D7C	lemma/88329	L256970
L87520	L87520-4032A3C5-E8C0-496F-960D-F3D6455F477D	lemma/88330	L256973
L87521	L87521-2667A389-EFAF-4152-BBC4-CDBD40D7EE4E	lemma/88334	L256977
L87523	L87523-704336D4-6421-400C-B0D6-5C52F33FE517	lemma/88340	L256983
L87531	L87531-61432AF7-845E-4E1F-9CDE-104DE5FBF202	lemma/91094	L257000
L87532	L87532-5809B6AB-8062-45B6-9955-B2ECE27890FE	lemma/91090	L257008
L87533	L87533-9D4EF87B-AEDA-4204-93B2-83C3758483EC	lemma/91088	L257011
L87535	L87535-76435FF1-B7B8-45C3-BC98-C445DFF518C3	lemma/91108	L1047322
L87539	L87539-5FF83900-57B8-4FFC-A3E1-ED40185DDFCE	lemma/28966	L257029
L87540	L87540-4B6C0779-443B-47CD-BDF3-4905454E9A26	hypolemma/1781	L257204
L87542	L87542-2C6F6CAF-63CA-40D3-8E8D-74FE26CFE5E3	lemma/91101	L257037
L87543	L87543-5D8C1425-12B0-4E5E-BFCF-769ABD60FAD0	lemma/88481	L257039
L87577	L87577-235FAD63-418A-48E0-B023-07B2B01E9E1F	lemma/88450	L257138
L87579	L87579-F2A01AD0-C259-4687-A62C-9F6742D56BC5	lemma/88460	L257157
L87580	L87580-18910E43-3EFA-416E-8291-F0FC3C8EC6CD	lemma/88468	L257167
L87581	L87581-20603BC4-4265-4EF5-BFFB-AEDB9C92304B	lemma/88469	L257168
L87582	L87582-417DDD0B-AB28-4100-A246-7785ABFB7DED	lemma/91086	L257171
