testu_hitza	hitz_egokitua	lemma	mlv_lexeme	aingura	token_zbk	testuingurua-ezker	testu-hitza	eskuin-testuingurua
aguintzeco	agintzeko	hagintze	https://monumenta.wikibase.cloud/wiki/Lexeme:L1088	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#7	442	... Eta ; orduan illunac	aguintzeco	mendea ...
aguiri	agiri	agiri	https://monumenta.wikibase.cloud/wiki/Lexeme:L1100	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#11	1718	... ? Pensaezazue astiro urriquimenduac . Esan ditugunetan ezta	aguiri	Virgiñaren doloreen anza deuanic ...
agur	agur	agur	https://monumenta.wikibase.cloud/wiki/Lexeme:L1164	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	757	... ( Luc . 2 . ) ;	agur	graciaz betea : cergatic bada bere icena aitatu ...
agur	agur	agur	https://monumenta.wikibase.cloud/wiki/Lexeme:L1164	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#3	307	... Esca dezayogun gracia gucien Amari esaten diogula :	Agur	Maria ...
agustin	agustin	haga	https://monumenta.wikibase.cloud/wiki/Lexeme:L940	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#11	847	... Beraz eguia ez da San	Agustin	dala gucientzat ...
agustin	agustin	haga	https://monumenta.wikibase.cloud/wiki/Lexeme:L940	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#19	1698	... adiña . ¿Ceregandu nai cenduque ? Ez ;	Agustin	bici dan artean , neregan bearco dezu ; ...
agustin	agustin	haga	https://monumenta.wikibase.cloud/wiki/Lexeme:L940	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#19	1729	... nere Jangoicoa ceraden ; baña eginquizun balitz zu	Agustin	izatea , eta Agustin izatea Jainco , Agustiñ-ec ...
agustin	agustin	haga	https://monumenta.wikibase.cloud/wiki/Lexeme:L940	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#19	1732	... baña eginquizun balitz zu Agustin izatea , eta	Agustin	izatea Jainco , Agustiñ-ec Jainco izatea ez luque ...
agustin-en	agustin-en	haga	https://monumenta.wikibase.cloud/wiki/Lexeme:L940	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#19	1837	... zan becela amatzeco . Orra bada nola ,	Agustin-en	arguia dan ona , eta andia ; baña ...
agustiñ	agustin	haga	https://monumenta.wikibase.cloud/wiki/Lexeme:L940	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#6	321	... Nere sermoi-gaya da esatea gure Aita San	Agustiñ	argui orri cer polliqui datorquion San Agustiñ-en anza ...
aide	aide	aida	https://monumenta.wikibase.cloud/wiki/Lexeme:L1205	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#14	2344	... consola daguiqueanic , are bere adisquide , bere	aide	, bere maite gucietatic ...
aien	aien	ai	https://monumenta.wikibase.cloud/wiki/Lexeme:L1195	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#9	829	... cital eta herejia ichusi guciac ; bat ere	aien	aztarnaric gueratu gabe lur-gañean . ...
aimbat	ainbat	ainbat	https://monumenta.wikibase.cloud/wiki/Lexeme:L1277	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#4	349	... , ta adierazotzen diauzcu Virgiñaren doloreac , cergatic	aimbat	 ...
aimbeste	ainbeste	hainbeste	https://monumenta.wikibase.cloud/wiki/Lexeme:L1283	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1242	...  	Aimbeste	bada bere semeari nai izandu cion amac , ...
aimbeste	ainbeste	hainbeste	https://monumenta.wikibase.cloud/wiki/Lexeme:L1283	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#15	2647	... naizanean gucien artean aundiena , alaco obligacioz ,	aimbeste	eguin diauztan ontasunez , ofenditu dedanean neure Jaungoicoa ...
aimbeste	ainbeste	hainbeste	https://monumenta.wikibase.cloud/wiki/Lexeme:L1283	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#2	63	... .	aimbeste	izarretan iśuria eta bacandua dagoen arguia , batean ...
aimbéste	ainbeste	hainbeste	https://monumenta.wikibase.cloud/wiki/Lexeme:L1283	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	493	... ( eztec hitz au Erderaz esangó ) ;	aimbéste	urterén epéan atsotu bear : baña ichoc , ...
ain	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#3	139	... hura jasotzeco diña pisuric , ta indarric :	ain	da astun , ta icaragarri pecatua . Argatic ...
ain	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	820	... ta	ain	zori oneco berriac ematen ciran , egun batean ...
ain	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#14	2396	... zeuc ere ez , eztezu zeuc ere zeure	ain	biotzecoa dezun esposea consolatzen ? Oi eta miñaren ...
ain	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	2995	... zeure ama , aiñ ondo aci cinduena ,	ain	gozo bere bularrez bazcatu cinduena : cergatic bada ...
ain	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	3204	... ; ceiñac gueure pecataritasunean amatzat daucagula Virgiña ,	ain	guichi arzaz contu iduquico guenduan . Cein dira ...
ain	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#18	3462	... gure Jauna aiñ erraz utzitzea , Virgiña largatzea	ain	bacar . Ez alda Azcoitico Escuela santa onetan ...
ain	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#18	3513	... Christoren escuelarrac , aiñ sendo dirala fedean ,	ain	ceruco indarrez , suz , arguiz beteac daudela ...
ain	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#22	4360	... gueuc gurutzeratu degu zeure semea , gueuc záuzcatzigu	ain	dolorez betea . ala gaizqui . Baña etzaude ...
ainguerua	aingerua	aingeru	https://monumenta.wikibase.cloud/wiki/Lexeme:L1297	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	745	... , ez besteri , graciaren escari au .	Ainguerua	etorri citzacanean berri onac ematera , esan cigon ...
aingueruac	aingeruak	aingeru	https://monumenta.wikibase.cloud/wiki/Lexeme:L1297	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	808	... Polem . 2 . ) . Ezcutatu cigon	aingueruac	Virgiñari bere icena , ...
aingueruac	aingeruak	aingeru	https://monumenta.wikibase.cloud/wiki/Lexeme:L1297	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#9	1181	... pecatu bague sortzea , gracia guztiaz betea ,	aingueruac	baño gorago jasoa , ceruarequin lurraren aguintaria , ...
aingueruac	aingeruak	aingeru	https://monumenta.wikibase.cloud/wiki/Lexeme:L1297	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#9	1236	... , jaquin aldaguiquegun gauza , eta eztaquit ,	aingueruac	ere jaquingo al deuen ceruan ...
aingueruac	aingeruak	aingeru	https://monumenta.wikibase.cloud/wiki/Lexeme:L1297	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1487	... ta etsaigo aiñ aundia ? Ô emen ceraten	aingueruac	, beguira nolacoa dagoan zeuen criatzallea : aita ...
aingueruac	aingeruak	aingeru	https://monumenta.wikibase.cloud/wiki/Lexeme:L1297	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#2	128	... Cerren , Santo Tomas	aingueruac	dionez , Jaincoac lembicico erara , argui guciaquicoa ...
aingueruen	aingeruen	aingeru	https://monumenta.wikibase.cloud/wiki/Lexeme:L1297	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#3	131	... Etzan guizonen artean lurrean , ez eta ceruan	aingueruen	artean , hura jasotzeco diña pisuric , ta ...
aingueruen	aingeruen	aingeru	https://monumenta.wikibase.cloud/wiki/Lexeme:L1297	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1430	... au mereci ceuen zeure oneguiñac ? itsustasun au	aingueruen	edertasunac ? eta il bear ceuanean , ecin ...
aingueruen	aingeruen	aingeru	https://monumenta.wikibase.cloud/wiki/Lexeme:L1297	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#21	4011	... edo- ceiñ moduzco esamesanac . Ala dioe ceruan	aingueruen	artean , ala dioe infernuan deabruen artean , ...
aita	aita	aita	https://monumenta.wikibase.cloud/wiki/Lexeme:L1395	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	695	... ta arria bezain gogor . Otseguingo ote digot	Aita	eternoari ? ay ene ! arestian bere semea ...
aita	aita	aita	https://monumenta.wikibase.cloud/wiki/Lexeme:L1395	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1493	... aingueruac , beguira nolacoa dagoan zeuen criatzallea :	aita	eternoa , ona emen zeure semea illic , ...
aita	aita	aita	https://monumenta.wikibase.cloud/wiki/Lexeme:L1395	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#14	2355	... Ezta sinistaquizuna . Ezperen	Aita	Eternoa , arren zeuc ere consolatzen eztezu zeure ...
aita	aita	aita	https://monumenta.wikibase.cloud/wiki/Lexeme:L1395	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#22	4188	... cerren eriotzea eracarri diozuten Virginaren seme preciatuari ,	aita	bezaiñ Jaungoico dan guizon bati , gaitzic iñoiz ...
aita	aita	aita	https://monumenta.wikibase.cloud/wiki/Lexeme:L1395	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#6	319	... Nere sermoi-gaya da esatea gure	Aita	San Agustiñ argui orri cer polliqui datorquion San ...
aita	aita	aita	https://monumenta.wikibase.cloud/wiki/Lexeme:L1395	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#13	1013	... Ez nazute berdiñ icaratuco . Gure	Aita	San Agustiñ izandu da dan andiegia , bicieguia ...
aitatu	aitatu	aitatu	https://monumenta.wikibase.cloud/wiki/Lexeme:L1446	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	764	... agur graciaz betea : cergatic bada bere icena	aitatu	ta esan ...
aitatzeco	aitatzeko	aitatze	https://monumenta.wikibase.cloud/wiki/Lexeme:L1450	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#4	274	... , Virgiña orrec icenic ezteu , beiñ bederic	aitatzeco	? eranzungo digot , gaur bear guenduela icen ...
aizan	aizan	ai	https://monumenta.wikibase.cloud/wiki/Lexeme:L1195	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#12	903	... esan cion : To ; ona noraño elduco	aizan	, aurrera igaro gabetanic ; emen porrocatu eta ...
aiñ	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#5	203	... , ónaco Latiñezcó cerrendá bátzuec irábiatu ditueláco .	Aiñ	arró dabill , aiñ da bere-buru , aiñ ...
aiñ	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#5	206	... bátzuec irábiatu ditueláco . Aiñ arró dabill ,	aiñ	da bere-buru , aiñ berez , ta beré ...
aiñ	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#5	209	... Aiñ arró dabill , aiñ da bere-buru ,	aiñ	berez , ta beré buruz beteá , ta ...
aiñ	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#5	323	... onéz nai dioníc : ta argátican daude guciac	aiñ	gueldi , aiñ isill , escúac tolesturic , ...
aiñ	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#5	325	... : ta argátican daude guciac aiñ gueldi ,	aiñ	isill , escúac tolesturic , naiz beztú ta ...
aiñ	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#5	438	... naste churigorri preciatu hura , edo nola dago	aiñ	itsusqui ubelduric ? Oraindaño esan oi cideen , ...
aiñ	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1420	... Adanen humeac ! onelaco acabera bear ceuen asiera	aiñ	ederrac ? pagu au mereci ceuen zeure oneguiñac ...
aiñ	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1482	... dituzu ? Cergatic dizute gorrotó , ta etsaigo	aiñ	aundia ? Ô emen ceraten aingueruac , beguira ...
aiñ	ain	haina	https://monumenta.wikibase.cloud/wiki/Lexeme:L1267	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#13	2087	... nola herituco deu semearena ? Cergatic bien animac	aiñ	daude elcargana , aiñ estu loturic , ta ...
